Name,Lastname,Phone,Email,Telegram,Organization name
Masha,Artemewa,34254356565,masha@fgdgf.com,@fhdjsgj,ASec Gow
Sasha,Solncev,374378634,rastike@dfdfj.com,@oooooo,Alphavit
Dasha,Krasivaia,2354647895,dasha@fgdh.com,@fhdjsgj,ABS Construction
Dasha,Krasiv,375292202727,Google@glail.com,@DariaG,Alphabet
Andr,Kondr,000937529220,kondart@gml.com,@kondr,Software LLC
Egor,Kondratiev,32734357428,egorkondrativ@mail.ru,@Egorick132,Ooo Sbc
Olga,Zorina,3572912344,zorinatr@gmail.com,@Alissa35,QuantumLLC
Robert,Rozhdestvenskiy,87567567489,robertshmobert@ghd.com,@robert,Rozhdestvo Llc
Olga,Gromova,90999000,gromova@bmail.com,@456782,Oracle GMBH
Markus,Zor,456098750697,markus@gmail.com,@markus,Mark Softweare
