NAME,LASTNAME,PHONE,EMAIL,TELEGRAM,ORGANIZATION NAME
MASHA,ARTEMEWA,34254356565,MASHA@FGDGF.COM,@FHDJSGJ,ASEC GOW
SASHA,SOLNCEV,374378634,RASTIKE@DFDFJ.COM,@OOOOOO,ALPHAVIT
DASHA,KRASIVAIA,2354647895,DASHA@FGDH.COM,@FHDJSGJ,ABS CONSTRUCTION
DASHA,KRASIV,375292202727,GOOGLE@GLAIL.COM,@DARIAG,ALPHABET
ANDR,KONDR,000937529220,KONDART@GML.COM,@KONDR,SOFTWARE LLC
EGOR,KONDRATIEV,32734357428,EGORKONDRATIV@MAIL.RU,@EGORICK132,OOO SBC
OLGA,ZORINA,3572912344,ZORINATR@GMAIL.COM,@ALISSA35,QUANTUMLLC
ROBERT,ROZHDESTVENSKIY,87567567489,ROBERTSHMOBERT@GHD.COM,@ROBERT,ROZHDESTVO LLC
OLGA,GROMOVA,90999000,GROMOVA@BMAIL.COM,@456782,ORACLE GMBH
MARKUS,ZOR,456098750697,MARKUS@GMAIL.COM,@MARKUS,MARK SOFTWEARE
